source,target,sentence,document
Revi,15 December 1999,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
15 December 1999,Procurement Offi,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
Procurement Offi,Kosovo,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
Vendor 1,Vendor 2,"In 
addition to Vendor 1, Vendor 2 and Vendor 3 submitt ed bids following which Procurement 
Officer 1 convened and chaired a Bid Opening Commit tee on 10-06-04.",38.pdf
Vendor 2,a Bid Opening Commit,"In 
addition to Vendor 1, Vendor 2 and Vendor 3 submitt ed bids following which Procurement 
Officer 1 convened and chaired a Bid Opening Commit tee on 10-06-04.",38.pdf
a Bid Opening Commit,10-06-04,"In 
addition to Vendor 1, Vendor 2 and Vendor 3 submitt ed bids following which Procurement 
Officer 1 convened and chaired a Bid Opening Commit tee on 10-06-04.",38.pdf
summer,"106,059","Pristina Airport Of ficial later awarded a single-source 
procurement contract for summer uniforms for newly hired staff, in the amount of 
€106,059, to Vendor 1, which had supplied uniforms to the airport under two previous 
contracts. 
 
",38.pdf
"106,059",Vendor 1,"Pristina Airport Of ficial later awarded a single-source 
procurement contract for summer uniforms for newly hired staff, in the amount of 
€106,059, to Vendor 1, which had supplied uniforms to the airport under two previous 
contracts. 
 
",38.pdf
the Finance Office,Vendor,"Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
8.",38.pdf
ITF,Vendor,"When asked by the ITF to substantiate his/her al legation that Procurement Officer 1 and 
the Finance Officer had accepted bribes from Vendor  2, Vendor 1 Manager said that 
he/she had heard the rumours in Pristina coffee bar s",38.pdf
Vendor,Pristina,"When asked by the ITF to substantiate his/her al legation that Procurement Officer 1 and 
the Finance Officer had accepted bribes from Vendor  2, Vendor 1 Manager said that 
he/she had heard the rumours in Pristina coffee bar s",38.pdf
Bid Opening Committee,Vendor 2,"Vendor 2 Employee who attended the meeting of th e Bid Opening Committee; Vendor 2 
Manager; and Vendor 2 Director all told ITF that th ey had not paid bribes to Procurement 
Officer 1 and/or the Finance Officer. 
 
",38.pdf
ITF,Committee,"Procurement Officer 1 explained to the ITF that  the original nominee to the committee, 
Committee member 1, had not been at work on the day  that the committee first convened 
and, therefore, had been replaced by Committee memb er 2, who then attended the 
second session for continuity purposes.",38.pdf
Committee,the day,"Procurement Officer 1 explained to the ITF that  the original nominee to the committee, 
Committee member 1, had not been at work on the day  that the committee first convened 
and, therefore, had been replaced by Committee memb er 2, who then attended the 
second session for continuity purposes.",38.pdf
the day,Committee,"Procurement Officer 1 explained to the ITF that  the original nominee to the committee, 
Committee member 1, had not been at work on the day  that the committee first convened 
and, therefore, had been replaced by Committee memb er 2, who then attended the 
second session for continuity purposes.",38.pdf
ITF,Finance,"The Finance Officer, Procurement Officer 1 and Pristina Airport Official told the ITF that 
the Finance Officer participated on the Bid Evaluat ion Committee.",38.pdf
Finance,the Bid Evaluat ion Committee,"The Finance Officer, Procurement Officer 1 and Pristina Airport Official told the ITF that 
the Finance Officer participated on the Bid Evaluat ion Committee.",38.pdf
Committee,Committee,"In addition to Procurement Officer 1 and the Fi nance Officer, Bid Evaluation Committee 
members Committee member 3, Committee member 4, Com mittee member 5, 
Committee member 6, Committee member 2, and Committ ee member 7 told the ITF that 
the conduct of the committee was completely fair an d proper.",38.pdf
Committee,Committee,"In addition to Procurement Officer 1 and the Fi nance Officer, Bid Evaluation Committee 
members Committee member 3, Committee member 4, Com mittee member 5, 
Committee member 6, Committee member 2, and Committ ee member 7 told the ITF that 
the conduct of the committee was completely fair an d proper.",38.pdf
Committee,Committee,"In addition to Procurement Officer 1 and the Fi nance Officer, Bid Evaluation Committee 
members Committee member 3, Committee member 4, Com mittee member 5, 
Committee member 6, Committee member 2, and Committ ee member 7 told the ITF that 
the conduct of the committee was completely fair an d proper.",38.pdf
Committee,Committ,"In addition to Procurement Officer 1 and the Fi nance Officer, Bid Evaluation Committee 
members Committee member 3, Committee member 4, Com mittee member 5, 
Committee member 6, Committee member 2, and Committ ee member 7 told the ITF that 
the conduct of the committee was completely fair an d proper.",38.pdf
Committ,ITF,"In addition to Procurement Officer 1 and the Fi nance Officer, Bid Evaluation Committee 
members Committee member 3, Committee member 4, Com mittee member 5, 
Committee member 6, Committee member 2, and Committ ee member 7 told the ITF that 
the conduct of the committee was completely fair an d proper.",38.pdf
Committee,ITF,"(Committee member 4 told 
the ITF that he/she attended the first session of t he Bid Evaluation Committee but that 
he/she missed the second session because of the ill ness of his son.)",38.pdf
Vendor 2’s,Vendor 2’s,"The general 
consensus of the committee was that Vendor 2’s samp les were better overall in terms of 
quality and design but the committee was not comple tely satisfied with Vendor 2’s goods. 
",38.pdf
ITF,Vendor 2,"However, Pristina Airport Official told the ITF tha t the committee was divided during the 
second session, with one group preferring Vendor 2’ s goods and the other preferring 
those of Vendor 1.",38.pdf
Finance,Vendor 2,"Pristina Airport Official said t hat Procurement Officer 1 (who, as 
committee chair, did not have the right to vote) an d the Finance Officer argued in favour 
of Vendor 2.",38.pdf
ITF,the Bid Evaluation Committee,"The ITF allowed Pristina Airport Official to re view a copy of the Bid Evaluation Committee 
report prepared by Procurement Officer 1, the last page of which listed the attendees at 
the session of the Bid Opening Committee (Procureme nt Officer 1 and the Finance 
Officer were the only members of the Bid Opening Co mmittee who also served on the Bid 
Evaluation Committee).",38.pdf
the Bid Evaluation Committee,the Bid Opening Committee (Procureme nt Officer 1 and,"The ITF allowed Pristina Airport Official to re view a copy of the Bid Evaluation Committee 
report prepared by Procurement Officer 1, the last page of which listed the attendees at 
the session of the Bid Opening Committee (Procureme nt Officer 1 and the Finance 
Officer were the only members of the Bid Opening Co mmittee who also served on the Bid 
Evaluation Committee).",38.pdf
the Bid Opening Committee (Procureme nt Officer 1 and,the Bid Opening Co,"The ITF allowed Pristina Airport Official to re view a copy of the Bid Evaluation Committee 
report prepared by Procurement Officer 1, the last page of which listed the attendees at 
the session of the Bid Opening Committee (Procureme nt Officer 1 and the Finance 
Officer were the only members of the Bid Opening Co mmittee who also served on the Bid 
Evaluation Committee).",38.pdf
the Bid Opening Committee,Vendor 1’s,"Upon looking at the attendee  list of the Bid Opening Committee, 
Pristina Airport Official named the committee membe rs who, he/she said, had Vendor 1’s 
and Vendor 2’s samples respectively.",38.pdf
Vendor 1’s,Vendor 2’s,"Upon looking at the attendee  list of the Bid Opening Committee, 
Pristina Airport Official named the committee membe rs who, he/she said, had Vendor 1’s 
and Vendor 2’s samples respectively.",38.pdf
Finance,the Bid Opening Committee,"He/she correct ly identified Procurement Officer 1 
and the Finance Officer but the other four persons whom he/she named were members of 
the Bid Opening Committee, not the Bid Evaluation C ommittee.",38.pdf
ITF,the Bid Evaluation Committee,"Pristina Airport Official told the ITF that he/ she believed that had he/she not cancelled the 
competitive tender, the Bid Evaluation Committee wo uld have awarded the contract to 
Vendor 2.",38.pdf
the Bid Evaluation Committee,Vendor 2,"Pristina Airport Official told the ITF that he/ she believed that had he/she not cancelled the 
competitive tender, the Bid Evaluation Committee wo uld have awarded the contract to 
Vendor 2.",38.pdf
the Ministry of Finance,Transportation,"Pristina Airport Official said that he/sh e believed that Procurement Officer 1 
had been “primed” to award the contract to Vendor 2  because Procurement Officer 1 had 
expressed a preference for and argued in support of  Vendor 2’s” inferior product and 
because a source (whose identity Pristina Airport O fficial was unable to recall) had told 
him/her that Procurement Officer 1 had been driven to the airport on several occasions by 
a person in either the Ministry of Finance or the M inistry of Transportation who was 
associated with Vendor 2.",38.pdf
Transportation,Vendor 2,"Pristina Airport Official said that he/sh e believed that Procurement Officer 1 
had been “primed” to award the contract to Vendor 2  because Procurement Officer 1 had 
expressed a preference for and argued in support of  Vendor 2’s” inferior product and 
because a source (whose identity Pristina Airport O fficial was unable to recall) had told 
him/her that Procurement Officer 1 had been driven to the airport on several occasions by 
a person in either the Ministry of Finance or the M inistry of Transportation who was 
associated with Vendor 2.",38.pdf
ITF,Kosovo,Procurement Officer 1 told the ITF that a forme r Kosovo Minister is his godfather.,38.pdf
Kosovo,Vendor 2,"He/she said that he/she has no idea whether the Former Kosovo Minister is 
in any way associated with Vendor 2.",38.pdf
