source,target,sentence,document,cleaned_source,cleaned_target
positivesignalsandcontinuedleadershipfromtheEU,"itwouldbedifficultfortheUNtomakea
commitmentinPoznan.BanalsomaintainedthatsincethenewU.S.administrationwillhavea","Hebelievesthatthemid-DecemberEUSummitinBrusselswillimpactontheUNConference
onClimateChangeinPoznanaswellasthe2009CopenhagenTalks,stressingthatwithout
positivesignalsandcontinuedleadershipfromtheEU,itwouldbedifficultfortheUNtomakea
commitmentinPoznan.BanalsomaintainedthatsincethenewU.S.administrationwillhavea
veryengagingandproactiveattitudeontheissue,thetimeisrightfortheEUandthewhole
worldtocreateconditionsnecessaryforreachingameaningfuldealatthe2009UNClimate
Talks.",114.pdf,positivesignalsandcontinuedleadershipfromtheeu,itwouldbedifficultfortheuntomakea commitmentinpoznanbanalsomaintainedthatsincethenewusadministrationwillhavea
Kosovo,"Intérimaire des Nations 
Unies","UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations 
Unies au Kosovo  
 
 
 
DATE: 14KJanuaryK2005K 
 K
REFERENCE: ITF/04/06K
To:  
A: 
 
 Mr.KSørenKJessenAPetersenK
SRSG,KUNMIK  
From: 
",15.pdf,republic of kosovo,intérimaire des nations unies
"Intérimaire des Nations 
Unies",Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations 
Unies au Kosovo  
 
 
 
DATE: 14KJanuaryK2005K 
 K
REFERENCE: ITF/04/06K
To:  
A: 
 
 Mr.KSørenKJessenAPetersenK
SRSG,KUNMIK  
From: 
",15.pdf,intérimaire des nations unies,republic of kosovo
Kosovo,"K 
 K
REFERENCE","UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations 
Unies au Kosovo  
 
 
 
DATE: 14KJanuaryK2005K 
 K
REFERENCE: ITF/04/06K
To:  
A: 
 
 Mr.KSørenKJessenAPetersenK
SRSG,KUNMIK  
From: 
",15.pdf,republic of kosovo,k k reference
"K 
 K
REFERENCE",KSørenKJessenAPetersenK,"UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations 
Unies au Kosovo  
 
 
 
DATE: 14KJanuaryK2005K 
 K
REFERENCE: ITF/04/06K
To:  
A: 
 
 Mr.KSørenKJessenAPetersenK
SRSG,KUNMIK  
From: 
",15.pdf,k k reference,ksørenkjessenapetersenk
"K
K","KwasKprovidedKwithKaKcopyKofKaKletterKdatedK28K
MayK2004,KfromKtheKCargoKManagerKofKanKAirlineKtoKa KStaffKMemberKofKPublicKEnterpriseK","K
K
AllegationK
K
1.K InKJulyK2004,KtheKInvestigationKTaskKForceK(ITF) KwasKprovidedKwithKaKcopyKofKaKletterKdatedK28K
MayK2004,KfromKtheKCargoKManagerKofKanKAirlineKtoKa KStaffKMemberKofKPublicKEnterpriseK
AirportKPristina.",15.pdf,k k,kwaskprovidedkwithkakcopykofkakletterkdatedk28k mayk2004kfromkthekcargokmanagerkofkankairlinektoka kstaffkmemberkofkpublickenterprisek
"KtheKCargoKManagerK referredKtoKseveralKproblemsKrelativeKtoKanK
","ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time","KInKtheKletter,KtheKCargoKManagerK referredKtoKseveralKproblemsKrelativeKtoKanK
InvoiceKforKAprilK2004KissuedKbyKtheKCargoKDepartme ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time,KPristinaKAirportKstaffKcouldKnotK
locateKaKrecordKofKthisKinvoiceKinKtheKairport’sKfi nancialKrecords,Kand,Ktherefore,KtheKcommissionK
ofKfraudKonKtheKpartKofKstaffKinKtheKCargoKDepartme ntKwasKsuspected.",15.pdf,kthekcargokmanagerk referredktokseveralkproblemskrelativektokank,ntkofkpristinakairportkforkthekhandlingkofk thekoutgoingkmailkofkakmemberkstateskkforkatkthek time
"ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time",KPristinaKAirportKstaffKcouldKnotK,"KInKtheKletter,KtheKCargoKManagerK referredKtoKseveralKproblemsKrelativeKtoKanK
InvoiceKforKAprilK2004KissuedKbyKtheKCargoKDepartme ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time,KPristinaKAirportKstaffKcouldKnotK
locateKaKrecordKofKthisKinvoiceKinKtheKairport’sKfi nancialKrecords,Kand,Ktherefore,KtheKcommissionK
ofKfraudKonKtheKpartKofKstaffKinKtheKCargoKDepartme ntKwasKsuspected.",15.pdf,ntkofkpristinakairportkforkthekhandlingkofk thekoutgoingkmailkofkakmemberkstateskkforkatkthek time,kpristinakairportkstaffkcouldknotk
KPristinaKAirportKstaffKcouldKnotK,Kand,"KInKtheKletter,KtheKCargoKManagerK referredKtoKseveralKproblemsKrelativeKtoKanK
InvoiceKforKAprilK2004KissuedKbyKtheKCargoKDepartme ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time,KPristinaKAirportKstaffKcouldKnotK
locateKaKrecordKofKthisKinvoiceKinKtheKairport’sKfi nancialKrecords,Kand,Ktherefore,KtheKcommissionK
ofKfraudKonKtheKpartKofKstaffKinKtheKCargoKDepartme ntKwasKsuspected.",15.pdf,kpristinakairportkstaffkcouldknotk,kand
Kand,Ktherefore,"KInKtheKletter,KtheKCargoKManagerK referredKtoKseveralKproblemsKrelativeKtoKanK
InvoiceKforKAprilK2004KissuedKbyKtheKCargoKDepartme ntKofKPristinaKAirportKforKtheKhandlingKofK
theKoutgoingKmailKofKaKMemberKState’sKKFOR.KAtKtheK time,KPristinaKAirportKstaffKcouldKnotK
locateKaKrecordKofKthisKinvoiceKinKtheKairport’sKfi nancialKrecords,Kand,Ktherefore,KtheKcommissionK
ofKfraudKonKtheKpartKofKstaffKinKtheKCargoKDepartme ntKwasKsuspected.",15.pdf,kand,ktherefore
"K
K
3.K TheKissuesKidentifiedKinKtheKletterKbyKtheKAirli",0.50,"K
K
3.K TheKissuesKidentifiedKinKtheKletterKbyKtheKAirli neKCargoKManagerKrelatedKtoKtheKhighKrateK
(€0.50/kg)KchargedKbyKPristinaKAirportKforKhandling KoutgoingKmail;KtheKfactKthatKtheKInvoiceKKhadK
beenKincorrectlyKsentKtoKtheKMemberKState’sKKFORKin steadKofKtheirKagent,KtheKAirline;KandKtheK
inappropriateKadditionKofKValueKAddedKTaxK(VAT),Kwh ichKisKnotKapplicableKtoKinternationalK
traffic.",15.pdf,k k 3k thekissueskidentifiedkinkthekletterkbykthekairli,050
"K
K
InvestigativeKDetailsK
K
4.K SubsequentKtoKtheKreceiptKofKtheKcomplaint",KITFK,"K
K
InvestigativeKDetailsK
K
4.K SubsequentKtoKtheKreceiptKofKtheKcomplaint,KITFK learnedKfromKtheKAirlineKCargoKDept.",15.pdf,k k investigativekdetailsk k 4k subsequentktokthekreceiptkofkthekcomplaint,kitfk
assertionsKwereKconfirmedKinKcopiesKofKcorrectedKin,irport’sKmailKhandlingKinvoicesKindicateKthatK,"KTheseK
assertionsKwereKconfirmedKinKcopiesKofKcorrectedKin voicesKandKexcerptsKofKtheKelectronicK
financialKrecordsKofKPristinaKAirportKthatKwereKpro videdKtoKITF.K
K
5.K ITFKmadeKtheKgeneralKobservationKthatKPristinaKA irport’sKmailKhandlingKinvoicesKindicateKthatK
theKentireKinvoicedKamountKisKaK“taxKpayment”.",15.pdf,assertionskwerekconfirmedkinkcopieskofkcorrectedkin,irportskmailkhandlingkinvoiceskindicatekthatk
"K
K
7.K ITF",KbyKthisKmemorandum,"K
K
7.K ITF,KbyKthisKmemorandum,KadvisesKyouKthatKeviden ceKofKfraud,KlossKorKwrongdoingKwasKnotK
identifiedKinKthisKmatterKand,Ktherefore,KthatKnoKf urtherKactionKisKrequired.",15.pdf,k k 7k itf,kbykthiskmemorandum
KbyKthisKmemorandum,KadvisesKyouKthatKeviden,"K
K
7.K ITF,KbyKthisKmemorandum,KadvisesKyouKthatKeviden ceKofKfraud,KlossKorKwrongdoingKwasKnotK
identifiedKinKthisKmatterKand,Ktherefore,KthatKnoKf urtherKactionKisKrequired.",15.pdf,kbykthiskmemorandum,kadviseskyoukthatkeviden
KadvisesKyouKthatKeviden,Ktherefore,"K
K
7.K ITF,KbyKthisKmemorandum,KadvisesKyouKthatKeviden ceKofKfraud,KlossKorKwrongdoingKwasKnotK
identifiedKinKthisKmatterKand,Ktherefore,KthatKnoKf urtherKactionKisKrequired.",15.pdf,kadviseskyoukthatkeviden,ktherefore
Ktherefore,KthatKnoKf,"K
K
7.K ITF,KbyKthisKmemorandum,KadvisesKyouKthatKeviden ceKofKfraud,KlossKorKwrongdoingKwasKnotK
identifiedKinKthisKmatterKand,Ktherefore,KthatKnoKf urtherKactionKisKrequired.",15.pdf,ktherefore,kthatknokf
"KWolfgangKNikolaus,",KITFKKosovo,"KWolfgangKNikolaus,KITFKKosovo,KatK+381K38K50 4K604K3896KorKMr.",15.pdf,kwolfgangknikolaus,kitfkkosovo
KID/OIOSK,Vienna,"KMarkKGough,KID/OIOSK
Vienna,KatK+44K1K26060K5406.K
K
K
cc:K Mr.KJamesKWasserstrom,KOPOEK
K",15.pdf,kidoiosk,vienna
Vienna,KatK+44K1K26060K5406.K,"KMarkKGough,KID/OIOSK
Vienna,KatK+44K1K26060K5406.K
K
K
cc:K Mr.KJamesKWasserstrom,KOPOEK
K",15.pdf,vienna,katk44k1k26060k5406k
KatK+44K1K26060K5406.K,"K
K
cc:K Mr.","KMarkKGough,KID/OIOSK
Vienna,KatK+44K1K26060K5406.K
K
K
cc:K Mr.KJamesKWasserstrom,KOPOEK
K",15.pdf,katk44k1k26060k5406k,k k cck mr
"K
K
cc:K Mr.",KJamesKWasserstrom,"KMarkKGough,KID/OIOSK
Vienna,KatK+44K1K26060K5406.K
K
K
cc:K Mr.KJamesKWasserstrom,KOPOEK
K",15.pdf,k k cck mr,kjameskwasserstrom
KJamesKWasserstrom,"KOPOEK
K","KMarkKGough,KID/OIOSK
Vienna,KatK+44K1K26060K5406.K
K
K
cc:K Mr.KJamesKWasserstrom,KOPOEK
K",15.pdf,kjameskwasserstrom,kopoek k
KPaulALachalKRoberts,KMarkKGough,"Mr.KPaulALachalKRoberts,KOLAFK
 Mr.KMarkKGough,KID/OIOSK",15.pdf,kpaulalachalkroberts,kmarkkgough
KMarkKGough,KID/OIOSK,"Mr.KPaulALachalKRoberts,KOLAFK
 Mr.KMarkKGough,KID/OIOSK",15.pdf,kmarkkgough,kidoiosk
Kosovo,Intérimaire des Nations,"UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",14.pdf,republic of kosovo,intérimaire des nations
Kosovo,"INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery","Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",14.pdf,republic of kosovo,investigation task force investigation into allegations of bribery
"INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery",Favou,"Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",14.pdf,investigation task force investigation into allegations of bribery,favou
Favou,I. Background,"Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",14.pdf,favou,i background
Kosovo Trust Agency,Internal Audit Unit,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",14.pdf,kosovo trust agency,internal audit unit
Internal Audit Unit,IAU,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",14.pdf,internal audit unit,iau
IAU,October 2004,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",14.pdf,iau,october 2004
October 2004,summer and winter,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",14.pdf,october 2004,summer and winter
